Date,District,Market,Fruit,Variety,Grade,CaseType,Min Price,Max Price,Avg Price
05-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
06-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
06-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
07-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
07-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
08-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
08-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
09-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
09-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
10-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
10-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
11-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
11-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
12-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
12-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
13-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
13-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
14-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
14-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
15-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
15-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
16-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
16-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
17-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
17-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
18-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
18-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
19-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
19-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
20-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
20-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
21-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
21-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
22-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
22-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
23-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
23-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
24-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,625,725,675
