Date,District,Market,Fruit,Variety,Grade,Min Price,Max Price,Avg Price
6/1/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,50,70,60
6/1/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,45,43
6/2/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,110,95
6/2/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,50,70,60
6/2/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,45,43
6/3/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/3/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
6/3/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
6/4/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/4/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
6/4/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
6/5/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/5/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
6/5/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
6/6/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/6/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,70,80,75
6/6/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/7/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/7/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,70,80,75
6/7/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/8/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/8/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,70,80,75
6/8/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,45,55,50
6/9/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,90,100,95
6/9/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,70,80,75
6/9/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,45,55,50
